#    L    TT             EE             BB             TE          
   337   0.733517E+04   0.100012E+02   0.497503E+02   0.537669E+02
   338   0.732694E+04   0.100229E+02   0.499036E+02   0.537972E+02
   339   0.731872E+04   0.100445E+02   0.500566E+02   0.538273E+02
   340   0.731051E+04   0.100661E+02   0.502096E+02   0.538571E+02
   341   0.730230E+04   0.100875E+02   0.503625E+02   0.538866E+02
   342   0.729410E+04   0.101089E+02   0.505152E+02   0.539158E+02
   343   0.728591E+04   0.101301E+02   0.506678E+02   0.539447E+02
   344   0.727773E+04   0.101513E+02   0.508202E+02   0.539733E+02
   345   0.726955E+04   0.101724E+02   0.509725E+02   0.540017E+02
   346   0.726138E+04   0.101934E+02   0.511247E+02   0.540297E+02
   347   0.725321E+04   0.102144E+02   0.512768E+02   0.540574E+02
   348   0.724506E+04   0.102352E+02   0.514287E+02   0.540848E+02
   349   0.723690E+04   0.102560E+02   0.515806E+02   0.541119E+02
   350   0.722876E+04   0.102766E+02   0.517322E+02   0.541387E+02
   351   0.722062E+04   0.102972E+02   0.518838E+02   0.541652E+02
   352   0.721249E+04   0.103177E+02   0.520352E+02   0.541914E+02
   353   0.720436E+04   0.103382E+02   0.521864E+02   0.542172E+02
   354   0.719624E+04   0.103585E+02   0.523376E+02   0.542427E+02
   355   0.718812E+04   0.103787E+02   0.524886E+02   0.542679E+02
   356   0.718001E+04   0.103989E+02   0.526394E+02   0.542928E+02
   357   0.717191E+04   0.104190E+02   0.527901E+02   0.543174E+02
   358   0.716381E+04   0.104390E+02   0.529407E+02   0.543416E+02
   359   0.715572E+04   0.104589E+02   0.530911E+02   0.543656E+02
   360   0.714763E+04   0.104787E+02   0.532414E+02   0.543892E+02
   361   0.713955E+04   0.104984E+02   0.533915E+02   0.544124E+02
   362   0.713148E+04   0.105180E+02   0.535414E+02   0.544354E+02
   363   0.712341E+04   0.105376E+02   0.536913E+02   0.544580E+02
   364   0.711535E+04   0.105571E+02   0.538409E+02   0.544803E+02
   365   0.710729E+04   0.105764E+02   0.539904E+02   0.545023E+02
   366   0.709924E+04   0.105957E+02   0.541398E+02   0.545240E+02
   367   0.709119E+04   0.106149E+02   0.542890E+02   0.545453E+02
   368   0.708315E+04   0.106341E+02   0.544380E+02   0.545663E+02
